"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"6365","Trade and Insurance with Adverse Selection",5,56,2,13,"Avinash Dixit","","","","","Dixit","","","","",1
"6366","Trade and Protection With Multistage Production",5,49,4,12,"Avinash K. Dixit","Gene M. Grossman","","","","Dixit","Grossman5","","","",2
"6367","Trade and Transboundary Pollution",1,85,4,22,"Brian R. Copeland","M. Scott Taylor","","","","OtherAuthor","Taylor15","","","",2
"6368","Trade Hedging and the Dynamic Stability of the Foreign Exchange Market",3,94,1,16,"Willard E. Witte","","","","","OtherAuthor","","","","",1
"6369","Trade in a Tiebout Economy",1,77,3,11,"John Douglas Wilson","","","","","OtherAuthor","","","","",1
"6370","Trade in Producer Services and in Other Specialized Intermediate Inputs",1,79,1,11,"James R. Markusen","","","","","OtherAuthor","","","","",1
"6371","Trade in Producer Services: A Heckscher-Ohlin Approach",2,97,5,17,"James R. Melvin","","","","","OtherAuthor","","","","",1
"6372","Trade in Risky Assets",1,78,3,20,"Lars E. O. Svensson","","","","","Svensson","","","","",1
"6373","Trade in Used Equipment with Heterogeneous Firms",2,91,4,18,"Eric W. Bond","","","","","OtherAuthor","","","","",1
"6374","Trade Inventories and $(S,s)$",3,106,4,20,"Patricia C. Mosser","","","","","OtherAuthor","","","","",1
"6375","Trade Liberalization among Major World Trading Areas",2,93,2,5,"Richard G. Harris","","","","","OtherAuthor","","","","",1
"6376","Trade Liberalization and Industrial Organization: Some Estimates for Canada",2,93,1,31,"David Cox","Richard Harris","","","","OtherAuthor","OtherAuthor","","","",2
"6377","Trade Liberalization and the Theory of Endogenous Protection: An Econometric Stu",2,101,1,23,"Daniel Trefler","","","","","OtherAuthor","","","","",1
"6378","Trade Liberalization, Exit, and Productivity Improvements: Evidence from Chilean",5,69,1,32,"Nina Pavcnik","","","","","OtherAuthor","","","","",1
"6379","Trade Negotiations and World Welfare",1,79,3,8,"Carsten Kowalczyk","","","","","OtherAuthor","","","","",1
"6380","Trade Patterns under Uncertainty with Country Specific Shocks",4,56,3,15,"Elhanan Helpman","","","","","Helpman","","","","",1
"6381","Trade Policy and Economic Development: How We Learn",1,87,1,22,"Anne O. Krueger","","","","","Krueger2","","","","",1
"6382","Trade Policy and Market Structure.",2,98,3,4,"Robert E. Lucas, Jr.","","","","","Lucas3","","","","",1
"6383","Trade Policy in a Changing World Economy.",2,98,1,4,"Richard E. Caves","","","","","Caves","","","","",1
"6384","Trade Reform with Quotas, Partial Rent Retention, and Tariffs",4,60,1,20,"James E. Anderson","J. Peter Neary","","","","OtherAuthor","OtherAuthor","","","",2
"6385","Trade Reform, Policy Uncertainty, and the Current Account: A Non-Expected-Utilit",1,82,3,8,"Sweder van Wijnbergen","","","","","OtherAuthor","","","","",1
"6386","Trade Wars and Trade Talks",2,103,4,34,"Gene M. Grossman","Elhanan Helpman","","","","Grossman5","Helpman","","","",2
"6387","Trade with Heterogeneous Prior Beliefs and Asymmetric Information",4,62,6,21,"Stephen Morris","","","","","Morris6","","","","",1
"6388","Trade, Capital Mobility, and Tax Competition",2,94,4,22,"John Douglas Wilson","","","","","OtherAuthor","","","","",1
"6389","Trade, Capital Mobility, and Tax Competition",2,95,4,22,"John Douglas Wilson","","","","","OtherAuthor","","","","",1
"6390","Trading Volume and Asset Liquidity",3,104,2,20,"Marco Pagano","","","","","Pagano","","","","",1
"6391","Trading Volume and Serial Correlation in Stock Returns",3,108,4,35,"John Y. Campbell","Sanford J. Grossman","Jiang Wang","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6392","Training and Innovation in an Imperfect Labour Market",5,64,3,20,"Daron Acemoglu","","","","","Acemoglu","","","","",1
"6393","Transaction Costs and Price Volatility: Evidence from Commission Deregulation",1,87,4,10,"Charles M. Jones","Paul J. Seguin","","","","OtherAuthor","OtherAuthor","","","",2
"6394","Transaction Costs and the Interest Parity Theorem",2,93,4,7,"Mohsen Bahmani-Oskooee","Satya P. Das","","","","OtherAuthor","OtherAuthor","","","",2
"6395","Transaction Costs in the Theory of Unemployment",1,75,1,13,"Peter Howitt","","","","","Howitt","","","","",1
"6396","Transaction Costs, Order Placement Strategy, and Existence of the Bid-Ask Spread",2,89,2,19,"Kalman J. Cohen","Steven F. Maier","Robert A. Schwartz","David K. Whitcomb","","OtherAuthor","OtherAuthor","OtherAuthor","OtherAuthor","",4
"6397","Transaction Costs, Uncertainty and Generally Inactive Futures Markets",5,48,1,7,"H. M. Shefrin","","","","","OtherAuthor","","","","",1
"6398","Transaction Services, Inflation, and Welfare",2,106,6,28,"S. Rao Aiyagari","R. Anton Braun","Zvi Eckstein","","","OtherAuthor","OtherAuthor","Eckstein","","",3
"6399","Transactions Costs and Covered Interest Arbitrage: Theory and Evidence",2,96,2,13,"Kevin Clinton","","","","","OtherAuthor","","","","",1
"6400","Transactions Costs and Nonlinear Adjustment in Real Exchange Rates: An Empirical",2,105,4,18,"Panos Michael","A. Robert Nobay","David A. Peel","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6401","Transactions Costs and the Efficient Organization of Production: A Study of Timb",2,99,5,28,"Keith B. Leffler","Randal R. Rucker","","","","Leffler","OtherAuthor","","","",2
"6402","Transactions Costs and the Optimal Quantity of Money",2,93,1,12,"Scott Freeman","","","","","Freeman31","","","","",1
"6403","Transactions Demand for Money with a Stochastic, Time-Varying Interest Rate",5,56,4,11,"Gregor W. Smith","","","","","OtherAuthor","","","","",1
"6404","Transactions/List Pricing",4,58,3,16,"Daniel J. Seidmann","","","","","OtherAuthor","","","","",1
"6405","Transfer Sensitive Inequality Measures",5,54,3,13,"Anthony F. Shorrocks","James E. Foster","","","","OtherAuthor","OtherAuthor","","","",2
"6406","Transfers in Kind: Why They Can be Efficient and Nonpaternalistic",1,81,5,7,"Neil Bruce","Michael Waldman","","","","Bruce26","OtherAuthor","","","",2
"6407","Transform Analysis and Asset Pricing for Affine Jump-diffusions",4,68,6,34,"Darrell Duffie","Jun Pan","Kenneth Singleton","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6408","Transition Losses of Partially Mobile Industry-Specific Capital",3,98,1,20,"Don Fullerton","","","","","Fullerton","","","","",1
"6409","Transition Problems in Economic Reform: Agriculture in the North American Free T",1,85,4,17,"Santiago Levy","Sweder van Wijnbergen","","","","OtherAuthor","OtherAuthor","","","",2
"6410","Transitional Dynamics and Economic Growth in the Neoclassical Model",1,83,4,24,"Robert G. King","Sergio T. Rebelo","","","","KING21","OtherAuthor","","","",2
"6411","Transitional Dynamics in Two-Sector Models of Endogenous Growth",3,108,3,35,"Casey B. Mulligan","Xavier Sala-I-Martin","","","","Mulligan3","SALA-I-MARTIN","","","",2
"6412","Transport Costs and the Geography of Arbitrage in Eighteenth-Century China",1,92,5,14,"Carol H. Shiue","","","","","Shiue","","","","",1
"6413","Transport Costs in International Trade Theory: A Comparison with the Analysis of",3,98,2,3,"Chao-cheng Mai","Jeong-wen Chiang","","","","OtherAuthor","OtherAuthor","","","",2
"6414","Transportation, State Marketing, and the Taxation of the Agricultural Hinterland",2,97,5,25,"Mark Gersovitz","","","","","Gersovitz","","","","",1
"6415","Treble Damage Awards in Private Lawsuits for Price Fixing",2,95,6,11,"Stephen W. Salant","","","","","SALANT","","","","",1
"6416","Trend Employment Growth and the Bunching of Job Creation and Destruction",3,113,3,26,"Christopher L. Foote","","","","","Foote","","","","",1
"6417","Trend Function Hypothesis Testing in the Presence of Serial Correlation",4,66,1,26,"Timothy J. Vogelsang","","","","","VOGELSANG","","","","",1
"6418","Trends versus Random Walks in Time Series Analysis",4,56,6,22,"Steven N. Durlauf","Peter C. B. Phillips","","","","Durlauf","Philips6","","","",2
"6419","Trigger Points and Budget Cuts: Explaining the Effects of Fiscal Austerity",1,83,1,16,"Giuseppe Bertola","Allan Drazen","","","","OtherAuthor","Drazen","","","",2
"6420","Trimmed Lad and Least Squares Estimation of Truncated and Censored Regression Mo",4,60,3,33,"Bo E. Honore","","","","","Honore","","","","",1
"6421","Troubled Banks, Impaired Foreign Direct Investment: The Role of Relative Access",1,92,3,19,"Michael W. Klein","Joe Peek","Eric S. Rosengren","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6422","True and Spurious Duration Dependence: The Identifiability of the Proportional H",5,49,3,7,"Chris Elbers","Geert Ridder","","","","OtherAuthor","OtherAuthor","","","",2
"6423","True Measures of GDP and Convergence",1,87,1,24,"Steve Dowrick","John Quiggin","","","","OtherAuthor","OtherAuthor","","","",2
"6424","True Monopolistic Competition as a Result of Imperfect Information",3,101,3,20,"Asher Wolinsky","","","","","Wolinsky","","","","",1
"6425","Truncation Strategies in Matching Markets—in Search of Advice for Participants",4,67,1,23,"Alvin E. Roth","Uriel G. Rothblum","","","","Roth1","OtherAuthor","","","",2
"6426","Tulipmania",2,97,3,26,"Peter M. Garber","","","","","OtherAuthor","","","","",1
"6427","Turnaround Time and Bottlenecks in Market Clearing: Decentralized Matching in th",2,105,2,46,"Alvin E. Roth","Xiaolin Xing","","","","Roth1","OtherAuthor","","","",2
"6428","Turning Points in the Civil War: Views from the Greenback Market",1,86,4,18,"Kristen L. Willard","Timothy W. Guinnane","Harvey S. Rosen","","","OtherAuthor","Guinnane","Rosen5","","",3
"6429","Turnover of Used Durables in a Stationary Equilibrium: Are Older Goods Traded Mo",2,110,6,25,"Dmitriy Stolyarov","","","","","STOLYAROV","","","","",1
"6430","Two Agency-Cost Explanations of Dividends",1,74,4,10,"Frank H. Easterbrook","","","","","OtherAuthor","","","","",1
"6431","Two Competing Models of How People Learn in Games",4,70,6,26,"Ed Hopkins","","","","","OtherAuthor","","","","",1
"6432","Two Illustrations of the Quantity Theory of Money",1,70,5,10,"Robert E. Lucas, Jr.","","","","","Lucas3","","","","",1
"6433","Two Models of Measurements and the Investment Accelerator",2,97,2,37,"Thomas J. Sargent","","","","","Sargent","","","","",1
"6434","Two Remarks on the Property-Rights Literature",5,66,1,11,"Eric Maskin","Jean Tirole","","","","OtherAuthor","OtherAuthor","","","",2
"6435","Two Stage and Related Estimators and Their Applications",5,53,4,22,"Adrian Pagan","","","","","OtherAuthor","","","","",1
"6436","Two Stage Least Absolute Deviations Estimators",4,50,3,24,"Takeshi Amemiya","","","","","Amemiya","","","","",1
"6437","Two Views of the Geographic Distribution of Unemployment",3,100,1,23,"Stephen T. Marston","","","","","OtherAuthor","","","","",1
"6438","Two-by-Two International Trade Theory with Many Goods and Factors",4,53,5,16,"J. Peter Neary","","","","","OtherAuthor","","","","",1
"6439","Two-Class Voting: A Mechanism for Conflict Resolution",1,92,5,24,"Ernst Maug","Bilge Yilmaz","","","","OtherAuthor","OtherAuthor","","","",2
"6440","Two-Moment Decision Models and Expected Utility Maximization",1,77,3,10,"Jack Meyer","","","","","Meyer27","","","","",1
"6441","Two-Part Tariffs and Optimum Taxation: The Case of Railway Rates",1,71,1,15,"Sylvester Damus","","","","","OtherAuthor","","","","",1
"6442","Two-Period Financial Contracts with Private Information and Costly State Verific",3,107,3,11,"David C. Webb","","","","","OtherAuthor","","","","",1
"6443","Two-Person Bargaining Problems with Incomplete Information",4,52,2,28,"Roger B. Myerson","","","","","Myerson","","","","",1
"6444","Two-Sector Growth with Endogeneous Technical Change: A Marxian Simulation Model",3,96,1,29,"David Laibman","","","","","OtherAuthor","","","","",1
"6445","Two-Sex Demographic Models",2,98,2,22,"Robert A. Pollak","","","","","Pollak","","","","",1
"6446","Two-Stage Lotteries without the Reduction Axiom",4,58,2,29,"Uzi Segal","","","","","OtherAuthor","","","","",1
"6447","Tying Trade Flows: A Theory of Countertrade with Evidence",1,85,5,18,"Dalia Marin","Monika Schnitzer","","","","OtherAuthor","OtherAuthor","","","",2
"6448","Tying, Foreclosure, and Exclusion",1,80,4,23,"Michael D. Whinston","","","","","Whinston","","","","",1
"6449","Unattainability of Integrability and Definiteness Conditions in the General Case",1,74,4,17,"Paul A. Samuelson","Ryuzo Sato","","","","OtherAuthor","OtherAuthor","","","",2
"6450","Unbalanced Growth Revisited: Asymptotic Stagnancy and New Evidence",1,75,4,12,"William J. Baumol","Sue Anne Batey Blackman","Edward N. Wolff","","","Baumol","OtherAuthor","Wolff17","","",3
"6451","Unbiased Value Estimates for Environmental Goods: A Cheap Talk Design for the Co",1,89,3,17,"Ronald G. Cummings","Laura O. Taylor","","","","OtherAuthor","OtherAuthor","","","",2
"6452","Unbundling the Voting Rights and Profit Claims of Common Shares",2,97,2,24,"Douglas H. Blair","Devra L. Golbe","James M. Gerard","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6453","Uncertain Altruism and Investment in Children",1,83,4,9,"Subir Chakrabarti","William Lord","Peter Rangazas","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6454","Uncertain Innovation and the Persistence of Monopoly",1,73,4,8,"Jennifer F. Reinganum","","","","","OtherAuthor","","","","",1
"6455","Uncertain Lifetime, Consumption, and Dissaving in Retirement,",2,89,3,17,"James B. Davies","","","","","OtherAuthor","","","","",1
"6456","Uncertain Lifetime, Imperfect Insurance Markets and the Valuation of Pension Wea",5,47,3,7,"David Ulph","Richard Hemming","","","","OtherAuthor","OtherAuthor","","","",2
"6457","Uncertain Medical Expenses and Precautionary Saving Near the End of the Life Cyc",5,66,2,27,"Michael G. Palumbo","","","","","OtherAuthor","","","","",1
"6458","Uncertain Tax Policies, Individual Behavior, and Welfare",1,78,1,9,"James Alm","","","","","OtherAuthor","","","","",1
"6459","Uncertainty and Delay in Bargaining",5,57,4,21,"In-Koo Cho","","","","","Cho28","","","","",1
"6460","Uncertainty and Exhaustible Resource Markets",2,88,6,23,"Robert S. Pindyck","","","","","OtherAuthor","","","","",1
"6461","Uncertainty and Optimal Social Security Systems",3,96,2,18,"Eytan Sheshinski","Yoram Weiss","","","","OtherAuthor","OtherAuthor","","","",2
"6462","Uncertainty and Shopping Behaviour: An Experimental Analysis",5,55,2,20,"David M. Grether","Alan Schwartz","Louis L. Wilde","","","Grether","OtherAuthor","OtherAuthor","","",3
"6463","Uncertainty and the Choice of Trade Policy in Oligopolistic Industries",5,56,1,12,"Russell Cooper","Raymond Riezman","","","","COOPER21","Riezman","","","",2
"6464","Uncertainty in Future Government Spending and Investment",3,100,4,9,"Richard Hartman","","","","","Hartman26","","","","",1
"6465","Uncertainty in the Theory of Renewable Resource Markets",5,51,2,15,"Robert S. Pindyck","","","","","OtherAuthor","","","","",1
"6466","Uncertainty Resolution, Private Information Aggregation and the Cournot Competit",5,52,1,15,"Thomas R. Palfrey","","","","","Palfrey","","","","",1
"6467","Uncertainty, Asymmetric Information and Bilateral Contracts",5,51,1,11,"Michael H. Riordan","","","","","OtherAuthor","","","","",1
"6468","Uncontrolled Prices in a Controlled Market: The Case of Rent Controls",1,74,1,8,"George Fallis","Lawrence B. Smith","","","","OtherAuthor","OtherAuthor","","","",2
"6469","Uncovering Financial Market Expectations of Inflation",2,93,6,18,"James D. Hamilton","","","","","Hamilton16","","","","",1
"6470","Underemployment Equilibrium with Rational Expectations",3,97,1,19,"Geoffrey Woglom","","","","","OtherAuthor","","","","",1
"6471","Understanding Risk and Return",2,104,2,48,"John Y. Campbell","","","","","OtherAuthor","","","","",1
"6472","Understanding Social Preferences with Simple Tests",3,117,3,53,"Gary Charness","Matthew Rabin","","","","OtherAuthor","Rabin7","","","",2
"6473","Understanding the Costs of Sovereign Default: American State Debts in the 1840's",1,86,1,17,"William B. English","","","","","OtherAuthor","","","","",1
"6474","Understanding the Higher Unemployment Rate of Women Scientists and Engineers",1,73,5,4,"Michael G. Finn","","","","","OtherAuthor","","","","",1
"6475","Understanding Unit Rooters: A Helicopter Tour",4,59,6,9,"Christopher A. Sims","Harald Uhlig","","","","OtherAuthor","OtherAuthor","","","",2
"6476","Unemployment and Real Interest Rates: Econometric Testing of Inflation Neutralit",1,71,5,9,"Richard Startz","","","","","Startz","","","","",1
"6477","Unemployment and the Social Safety Net during Transitions to a Market Economy: E",1,88,5,26,"John C. Ham","Jan Svejnar","Katherine Terrell","","","HAM","SVEJNAR","OtherAuthor","","",3
"6478","Unemployment and Vacancies with Sectoral Shifts",1,84,1,21,"Arthur J. Hosios","","","","","OtherAuthor","","","","",1
"6479","Unemployment as a Discipline Device with Heterogeneous Labor",1,77,3,5,"Jon Strand","","","","","OtherAuthor","","","","",1
"6480","Unemployment as Disequilibrium in a Model of Aggregate Labor Supply",4,48,3,18,"Orley Ashenfelter","","","","","Ashenfelter","","","","",1
"6481","Unemployment Duration and Incidence: 1968-82",1,75,3,12,"Hal Sider","","","","","OtherAuthor","","","","",1
"6482","Unemployment Duration: Compositional Effects and Cyclical Variability",1,82,1,9,"Michael Baker","","","","","OtherAuthor","","","","",1
"6483","Unemployment in the Soviet Union: Evidence from the Soviet Interview Project",1,78,4,20,"Paul R. Gregory","Irwin L. Collier, Jr.","","","","OtherAuthor","OtherAuthor","","","",2
"6484","Unemployment in the United Kingdom Since the War",5,49,5,29,"Martyn Andrews","Stephen Nickell","","","","OtherAuthor","OtherAuthor","","","",2
"6485","Unemployment Insurance and Labor Contracts Under Asymmetric Information: Theory",1,76,3,13,"Andrew J. Oswald","","","","","OtherAuthor","","","","",1
"6486","Unemployment Insurance and Short-Time Compensation: The Effects on Layoffs, Hour",2,97,6,18,"Kenneth Burdett","Randall Wright","","","","Burdett","Wright8","","","",2
"6487","Unemployment Insurance and Unemployment Spells",4,58,4,26,"Bruce D. Meyer","","","","","Meyer9","","","","",1
"6488","Unemployment Insurance Rules, Joblessness, and Part-Time Work",4,64,3,36,"Brian P. McCall","","","","","OtherAuthor","","","","",1
"6489","Unemployment Insurance Takeup Rates and the After-Tax Value of Benefits",3,112,3,25,"Patricia M. Anderson","Bruce D. Meyer","","","","OtherAuthor","Meyer9","","","",2
"6490","Unemployment Insurance, Recall Expectations, and Unemployment Outcomes",3,105,4,30,"Lawrence F. Katz","Bruce D. Meyer","","","","Katz1","Meyer9","","","",2
"6491","Unemployment Rate Dynamics and Persistent Unemployment under Rational Expectatio",1,75,4,24,"Michael R. Darby","John Haltiwanger","Mark Plant","","","Darby11","Haltiwanger","OtherAuthor","","",3
"6492","Unemployment Spells and Unemployment Experience",1,70,5,9,"George A. Akerlof","Brian G. M. Main","","","","Akerlof","OtherAuthor","","","",2
"6493","Unemployment through the Filter of Memory",3,100,3,27,"George A. Akerlof","Janet L. Yellen","","","","Akerlof","Janet","","","",2
"6494","Unemployment with Observable Aggregate Shocks",2,91,6,22,"Sanford J. Grossman","Oliver D. Hart","Eric S. Maskin","","","OtherAuthor","Hart1","OtherAuthor","","",3
"6495","Unemployment, Migration, and Growth",2,105,3,27,"Valerie R. Bencivenga","Bruce D. Smith","","","","OtherAuthor","OtherAuthor","","","",2
"6496","Unemployment, the Allocation of Labor, and Optimal Government Intervention",1,70,4,10,"Donald O. Parsons","","","","","OtherAuthor","","","","",1
"6497","Unemployment, the Market for Interviews, and Wage Determination",2,98,2,16,"Michael Sattinger","","","","","OtherAuthor","","","","",1
"6498","Unequal English Wealth since 1670",2,93,6,36,"Peter H. Lindert","","","","","OtherAuthor","","","","",1
"6499","Unequal English Wealth since 1670",2,94,6,36,"Peter H. Lindert","","","","","OtherAuthor","","","","",1
"6500","Unequal Societies: Income Distribution and the Social Contract",1,90,1,34,"Rol Benabou","","","","","Benabou","","","","",1
"6501","Unequal Treatment of Identical Agents in Cournot Equilibrium",1,89,3,20,"Stephen W. Salant","Greg Shaffer","","","","SALANT","OtherAuthor","","","",2
"6502","Unexpected Inflation, Real Wages, and Employment Determination in Union Contract",1,80,4,20,"David Card","","","","","Card7","","","","",1
"6503","Unforeseen Contingencies and Incomplete Contracts",5,66,1,32,"Eric Maskin","Jean Tirole","","","","OtherAuthor","OtherAuthor","","","",2
"6504","Unilateral Divorce and the Labor-Force Participation Rate of Married Women, Revi",1,82,3,8,"Allen M. Parkman","","","","","OtherAuthor","","","","",1
"6505","Uninsured Idiosyncratic Risk and Aggregate Saving",3,109,3,26,"S. Rao Aiyagari","","","","","OtherAuthor","","","","",1
"6506","Unintended Impacts of Public Investments on Private Decisions: The Depletion of",1,80,3,16,"Robert N. Stavins","Adam B. Jaffe","","","","OtherAuthor","OtherAuthor","","","",2
"6507","Union Contracts and Money Wage Changes in U.S. Manufacturing Industries",3,97,4,24,"Wayne Vroman","","","","","OtherAuthor","","","","",1
"6508","Union Contracts and the Life-Cycle/Permanent-Income Hypothesis",1,85,1,15,"John Shea","","","","","Shea20","","","","",1
"6509","Union Organizing Activity, Firm Growth, and the Business Cycle",1,83,1,18,"Stephen G. Bronars","Donald R. Deere","","","","OtherAuthor","OtherAuthor","","","",2
"6510","Union Relative Wage Effects: A Survey",2,94,3,4,"Chris Robinson","","","","","OtherAuthor","","","","",1
"6511","Union Relative Wage Effects: A Survey",2,95,3,5,"Chris Robinson","","","","","OtherAuthor","","","","",1
"6512","Union Wage Settlements During a Disinflation",1,73,5,13,"John B. Taylor","","","","","Taylor2","","","","",1
"6513","Union Wages, Temporary Layoffs, and Seniority",1,73,3,14,"Gene M. Grossman","","","","","Grossman5","","","","",1
"6514","Unionization and Firm Performance: The Impact on Profits, Growth, and Productivi",1,74,5,27,"Kim B. Clark","","","","","OtherAuthor","","","","",1
"6515","Unionization and Productivity: Micro-Econometric Evidence",3,95,4,27,"Kim B. Clark","","","","","OtherAuthor","","","","",1
"6516","Unionization and Profitability: Evidence from the Capital Market",2,92,6,24,"Richard S. Ruback","Martin B. Zimmerman","","","","OtherAuthor","OtherAuthor","","","",2
"6517","Unionization and Profitability: Evidence of Spillover Effects",2,102,6,7,"Stephen G. Bronars","Donald R. Deere","","","","OtherAuthor","OtherAuthor","","","",2
"6518","Unionized Construction Workers are More Productive",3,99,2,24,"Steven G. Allen","","","","","OtherAuthor","","","","",1
"6519","Unique Equilibria, Pure Profits, and Efficiency in Location Models",1,70,5,8,"Dennis R. Capozza","Robert Van Order","","","","OtherAuthor","OtherAuthor","","","",2
"6520","Unique Equilibrium in a Model of Self-Fulfilling Currency Attacks",1,88,3,11,"Stephen Morris","Hyun Song Shin","","","","Morris6","OtherAuthor","","","",2
"6521","Unique Implementation of Incentive Contracts with Many Agents",5,55,4,15,"Ching-to Ma","","","","","MA","","","","",1
"6522","Uniqueness of Cournot Equilibrium: New Results from Old Methods",5,58,2,5,"Gerard Gaudet","Stephen W. Salant","","","","OtherAuthor","SALANT","","","",2
"6523","Uniqueness of Non-Walrasian Equilibrium in the Macroeconomic Model with Decreasi",5,52,4,11,"Paul Madden","","","","","OtherAuthor","","","","",1
"6524","Uniqueness, Stability, and Comparative Statics in Rationalizable Walrasian Marke",4,68,6,11,"Donald J. Brown","Chris Shannon","","","","brown6","Shannon","","","",2
"6525","Universal Mechanisms",4,58,6,24,"Francoise Forges","","","","","OtherAuthor","","","","",1
"6526","Unlimited Liability as a Barrier to Entry",2,96,4,19,"Jack L. Carr","G. Frank Mathewson","","","","OtherAuthor","OtherAuthor","","","",2
"6527","Unobservable Investment and the Hold-Up Problem",4,69,2,34,"Faruk Gul","","","","","Gul","","","","",1
"6528","Unobservables and the Use of Overlapping Measures as Proxy Variables",5,47,2,14,"G. J. Anderson","","","","","OtherAuthor","","","","",1
"6529","Unobservables, Pregnancy Resolutions, and Birth Weight Production Functions in N",2,98,5,25,"Michael Grossman","Theodore J. Joyce","","","","OtherAuthor","OtherAuthor","","","",2
"6530","Unobserved Ability and the Return to Schooling",4,70,5,17,"Christian Belzil","Jorgen Hansen","","","","OtherAuthor","OtherAuthor","","","",2
"6531","Unobserved Ability, Efficiency Wages, and Interindustry Wage Differentials",3,107,4,16,"McKinley Blackburn","David Neumark","","","","OtherAuthor","Neumark","","","",2
"6532","Unraveling in Guessing Games: An Experimental Study",1,85,5,14,"Rosemarie Nagel","","","","","OtherAuthor","","","","",1
"6533","Unraveling in Matching Markets",1,88,3,17,"Hao Li","Sherwin Rosen","","","","OtherAuthor","OtherAuthor","","","",2
"6534","Unscrambling Chaos through Thick and Thin",3,101,2,6,"Francois Melese","William Transue","","","","OtherAuthor","OtherAuthor","","","",2
"6535","Wasteful",2,96,5,14,"Michelle J. White","","","","","White16A","","","","",1
"6536","Urban Land Prices Under Uncertainty",1,75,3,10,"Sheridan Titman","","","","","OtherAuthor","","","","",1
"6537","Urban Poverty and Juvenile Crime: Evidence from a Randomized Housing-Mobility Ex",3,116,2,15,"Jens Ludwig","Paul Hirschfield","Greg J Duncan","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"6538","Useful Modifications to some Unit Root Tests with Dependent Errors and their Loc",5,63,3,29,"Pierre Perron","Serena Ng","","","","PERRON","Ng33","","","",2
"6539","Using Consumer Theory to Test Competing Business Cycle Models",2,106,2,29,"Mark Bils","Peter J. Klenow","","","","Bils","OtherAuthor","","","",2
"6540","Using Cost Observation to Regulate Firms",2,93,3,28,"Jean-Jacques Laffont","Jean Tirole","","","","OtherAuthor","OtherAuthor","","","",2
"6541","Using Elasticities to Derive Optimal Income Tax Rates",5,68,1,25,"Emmanuel Saez","","","","","Saez","","","","",1
"6542","Using Electoral Cycles in Police Hiring to Estimate the Effect of Police on Crim",1,87,3,21,"Steven D. Levitt","","","","","Levitt3","","","","",1
"6543","Using Engel’s Law to Estimate CPI Bias",1,91,3,12,"Bruce W. Hamilton","","","","","OtherAuthor","","","","",1
"6544","Using Field Experiments to Test Equivalence between Auction Formats: Magic on th",1,89,5,18,"David Lucking-Reiley","","","","","OtherAuthor","","","","",1
"6545","Using International and Japanese Regional Data to Determine When the Factor Abun",1,87,3,26,"Donald R. Davis","David E. Weinstein","Scott C. Bradford","Kazushige Shimpo","","DAVIS12","WEINSTEIN12","OtherAuthor","OtherAuthor","",4
"6546","Using Maimonides' Rule to Estimate the Effect of Class Size on Scholastic Achiev",3,114,2,43,"Joshua D. Angrist","Victor Lavy","","","","Angrist","OtherAuthor","","","",2
"6547","Using Privileged Information to Manipulate Markets: Insiders, Gurus, and Credibi",3,107,3,38,"Roland Benabou","Guy Laroque","","","","Benabou","OtherAuthor","","","",2
"6548","Using Randomization to Break the Curse of Dimensionality",4,65,3,30,"John Rust","","","","","Rust","","","","",1
"6549","Using Repeat Challengers to Estimate the Effect of Campaign Spending on Election",2,102,4,22,"Steven D. Levitt","","","","","Levitt3","","","","",1
"6550","Using Stock Price Information to Regulate Firms",5,69,1,22,"Antoine Faure-Grimaud","","","","","OtherAuthor","","","","",1
"6551","Using Survey Data to Test Standard Propositions Regarding Exchange Rate Expectat",1,77,1,21,"Jeffrey A. Frankel","Kenneth A. Froot","","","","OtherAuthor","OtherAuthor","","","",2
"6552","Using Weather Variability to Estimate the Response of Savings to Transitory Inco",1,82,1,19,"Christina H. Paxson","","","","","Paxson5","","","","",1
"6553","Utilitarianism, Egalitarianism, and the Timing Effect in Social Choice Problems",4,49,4,15,"Roger B. Myerson","","","","","Myerson","","","","",1
"6554","Utility Functions That Depend on Health Status: Estimates and Economic Implicati",1,80,3,22,"W. Kip Viscusi","William N. Evans","","","","OtherAuthor","Evans20","","","",2
"6555","Vacancy, Search, and Prices in a Housing Market Matching Model",2,98,6,23,"William C. Wheaton","","","","","OtherAuthor","","","","",1
"6556","Valuation Response to New Information: A Test of Resource Mobility and Market St",2,88,5,17,"Steven H. Lustgarten","Stavros B. Thomadakis","","","","OtherAuthor","OtherAuthor","","","",2
"6557","Value of an Additional Firm in Monopolistic Competition",5,51,2,11,"Michael Sattinger","","","","","OtherAuthor","","","","",1
"6558","Value of Information with Sequential Futures Markets",4,49,2,24,"Jerry Green","","","","","Green1","","","","",1
"6559","Values for Games without Sidepayments: Some Difficulties with Current Concepts",4,48,2,10,"Alvin E. Roth","","","","","Roth1","","","","",1
